A name,A class name,A start line,A end line, A method start line , A method end line, B name,B class name,B start line,B end line, B method start line , B method end line,similarity
getClassFromStream,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1287,1297,1287,1297,writeToFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\ssh\SSHExec.java,483,496,483,496,0.503648,
getClassFromStream,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1287,1297,1287,1297,readAllBytes,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\ExecStreamRedirectorTest.java,79,89,79,89,0.503039,
cleanup,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1388,1397,1388,1397,buildWeblogicJar - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\ejb\WeblogicDeploymentTool.java,504,514,504,514,0.558796,
cleanup,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1388,1397,1388,1397,getManifest,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\extension\ExtensionUtil.java,185,195,185,195,0.569110,
cleanup,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1388,1397,1388,1397,testNoRecreate,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\JarTest.java,116,128,116,128,0.612374,
setClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntTypeDefinition.java,80,88,80,88,innerGetTypeClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntTypeDefinition.java,187,197,187,197,0.927845,
setClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntTypeDefinition.java,80,88,80,88,getClassLoader,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\selectors\modifiedselector\ModifiedSelector.java,640,650,640,650,0.558359,
setClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntTypeDefinition.java,80,88,80,88,replaceContextLoader,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\util\ScriptRunnerBase.java,369,377,369,377,0.517832,
icreate,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntTypeDefinition.java,214,228,214,228,checkClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntTypeDefinition.java,240,255,240,255,0.720030,
checkClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntTypeDefinition.java,240,255,240,255,getHelperConstructor,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ProjectHelperRepository.java,217,235,217,235,0.518100,
createAndSet,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntTypeDefinition.java,262,286,262,286,read - if - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\filters\ClassConstants.java,99,129,99,129,0.503319,
sameDefinition,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntTypeDefinition.java,333,340,333,340,sameDefinition,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\PreSetDef.java,268,272,268,272,0.539772,
sameDefinition,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntTypeDefinition.java,333,340,333,340,similarDefinition,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\PreSetDef.java,283,288,283,288,0.532288,
collectArgumentProcessors,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ArgumentProcessorRegistry.java,73,98,73,98,collectProjectHelpers,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ProjectHelperRepository.java,80,110,80,110,0.651550,
getProcessor,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ArgumentProcessorRegistry.java,111,120,111,120,doesModernCompilerExist,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\compilers\CompilerAdapterFactory.java,158,174,158,174,0.501320,
getParams,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\attribute\BaseIfAttribute.java,68,74,68,74,toString,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\PropertySet.java,491,498,491,498,0.584050,
getParams,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\attribute\BaseIfAttribute.java,68,74,68,74,setEntry,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\ZipResource.java,211,224,211,224,0.514870,
getParams,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\attribute\BaseIfAttribute.java,68,74,68,74,applyBindings,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\util\optional\JavaxScriptRunner.java,177,186,177,186,0.528097,
createComponent,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,264,275,264,275,makeTask,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\UnknownElement.java,469,479,469,479,0.779487,
createComponent - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,266,273,266,273,createTask,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,515,524,515,524,0.776056,
createComponent - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,266,273,266,273,taskStarted,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\listener\Log4jListener.java,106,110,106,110,0.615125,
addTaskDefinition,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,342,352,342,352,addDataTypeDefinition,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,468,475,468,475,0.658983,
addTaskDefinition,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,342,352,342,352,initTasks - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,752,760,752,760,0.901691,
addTaskDefinition,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,342,352,342,352,attributeNamespaceDef,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\DefaultDefinitions.java,52,59,52,59,0.735742,
addTaskDefinition,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,342,352,342,352,componentDef,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\DefaultDefinitions.java,67,74,67,74,0.740839,
checkTaskClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,366,389,366,389,checkTaskClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\TaskAdapter.java,79,105,79,105,0.781760,
checkTaskClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,366,389,366,389,createMirror,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junit\JUnitTask.java,778,797,778,797,0.512073,
checkTaskClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,366,389,366,389,createMirror,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTask.java,826,848,826,848,0.525942,
