A name,A class name,A start line,A end line, A method start line , A method end line, B name,B class name,B start line,B end line, B method start line , B method end line,similarity
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Copy.java,359,366,359,366,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\image\Image.java,196,203,196,203,1.000000,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Copy.java,359,366,359,366,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\image\ImageIOTask.java,180,187,180,187,1.000000,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Copy.java,359,366,359,366,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\UpToDate.java,129,136,129,136,1.000000,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Copy.java,359,366,359,366,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\selectors\MappingSelector.java,62,68,62,68,0.951220,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Copy.java,359,366,359,366,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\selectors\PresentSelector.java,85,91,85,91,0.951220,
copySingleFile - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Copy.java,622,635,622,635,scanDir,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Copydir.java,147,162,147,162,0.902523,
buildMap - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Copy.java,787,804,787,804,buildMap - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Copy.java,832,848,832,848,0.937920,
doFileOperations - if - for - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Copy.java,865,903,865,903,doResourceOperations - if - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Copy.java,945,988,945,988,0.915315,
doFileOperations - if - for - for - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Copy.java,911,918,911,918,doFileOperations - if - for - for - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Move.java,179,186,179,186,0.933564,
doFileOperations - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Copy.java,921,929,921,929,doFileOperations - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Move.java,193,201,193,201,1.000000,
doFileIsNew,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\cvslib\CvsTagDiff.java,338,355,338,355,doFileWasRemoved,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\cvslib\CvsTagDiff.java,378,397,378,397,0.966252,
removeDir - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Delete.java,815,825,815,825,removeFiles - if - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Delete.java,843,850,843,850,0.923870,
setAppxml,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Ear.java,67,80,67,80,setWebxml,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\War.java,91,103,91,103,1.000000,
setMessage,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\email\EmailTask.java,194,201,194,201,setMessageFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\email\EmailTask.java,208,215,208,215,0.981664,
setToList,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\email\EmailTask.java,299,305,299,305,setCcList,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\email\EmailTask.java,321,327,321,327,0.975610,
setToList,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\email\EmailTask.java,299,305,299,305,setBccList,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\email\EmailTask.java,343,349,343,349,0.975610,
setCcList,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\email\EmailTask.java,321,327,321,327,setBccList,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\email\EmailTask.java,343,349,343,349,0.975610,
didntReach,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\email\MimeMailer.java,315,323,315,323,badRecipient - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\email\PlainMailer.java,155,162,155,162,0.913346,
run - if - if - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Exec.java,107,116,107,116,run - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Exec.java,118,127,118,127,1.000000,
checkConfiguration - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\ExecTask.java,517,525,517,525,checkConfiguration - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Java.java,169,179,169,179,1.000000,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\ExecuteOn.java,282,289,282,289,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Expand.java,439,446,439,446,0.965307,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\ExecuteOn.java,282,289,282,289,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Get.java,511,518,511,518,1.000000,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\ExecuteOn.java,282,289,282,289,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\image\Image.java,196,203,196,203,1.000000,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\ExecuteOn.java,282,289,282,289,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\image\ImageIOTask.java,180,187,180,187,1.000000,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\ExecuteOn.java,282,289,282,289,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\UpToDate.java,129,136,129,136,1.000000,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\ExecuteOn.java,282,289,282,289,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\selectors\MappingSelector.java,62,68,62,68,0.951220,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\ExecuteOn.java,282,289,282,289,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\selectors\PresentSelector.java,85,91,85,91,0.951220,
getCommandline - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\ExecuteOn.java,559,578,559,578,getCommandline - if - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\ExecuteOn.java,578,596,578,596,0.994306,
extractFile - if - for - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Expand.java,285,292,285,292,extractFile - if - for - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Expand.java,295,304,295,304,0.909907,
extractFile - if - for - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Expand.java,285,292,285,292,setName,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\selectors\FilenameSelector.java,78,85,78,85,0.922612,
extractFile - if - for - if - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Expand.java,296,303,296,303,setName,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\selectors\FilenameSelector.java,78,85,78,85,0.922612,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Expand.java,439,446,439,446,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Get.java,511,518,511,518,0.965307,
